Dota: Irving,BRHT vs ARMY, Mon 1:00AM,7.0 Kills in Game 1+2
Dota: once. (Hea2t),BRHT vs ARMY, Mon 1:00AM,10.0 Kills in Game 1+2
Dota: imitator,BRHT vs ARMY, Mon 1:00AM,5.5 Kills in Game 1+2
Dota: Undyne_,BRHT vs ARMY, Mon 1:00AM,5.0 Kills in Game 1+2
CS:GO kwezz,ESPG @ B8, Mon 4:00AM,34.0 Kills on Map 1+2
CS:GO kwezz,ESPG @ B8, Mon 4:00AM,19.0 Headshots on Maps 1+2
CS:GO Lucky (ESPG),ESPG @ B8, Mon 4:00AM,37.0 Kills on Map 1+2
CS:GO Lucky (ESPG),ESPG @ B8, Mon 4:00AM,14.5 Headshots on Maps 1+2
CS:GO Anlelele,ESPG @ B8, Mon 4:00AM,37.0 Kills on Map 1+2
CS:GO Anlelele,ESPG @ B8, Mon 4:00AM,16.0 Headshots on Maps 1+2
CS:GO IceBerg,ESPG @ B8, Mon 4:00AM,32.5 Kills on Map 1+2
CS:GO IceBerg,ESPG @ B8, Mon 4:00AM,15.5 Headshots on Maps 1+2
CS:GO Cabbi,ESPG @ B8, Mon 4:00AM,39.0 Kills on Map 1+2
CS:GO Cabbi,ESPG @ B8, Mon 4:00AM,23.0 Headshots on Maps 1+2
CS:GO r1nkle,B8 vs ESPG, Mon 4:00AM,39.0 Kills on Map 1+2
CS:GO r1nkle,B8 vs ESPG, Mon 4:00AM,14.0 Headshots on Maps 1+2
CS:GO amster,B8 vs ESPG, Mon 4:00AM,31.0 Kills on Map 1+2
CS:GO amster,B8 vs ESPG, Mon 4:00AM,12.0 Headshots on Maps 1+2
CS:GO OWNER,B8 vs ESPG, Mon 4:00AM,37.0 Kills on Map 1+2
CS:GO OWNER,B8 vs ESPG, Mon 4:00AM,18.0 Headshots on Maps 1+2
CS:GO npl,B8 vs ESPG, Mon 4:00AM,31.0 Kills on Map 1+2
CS:GO npl,B8 vs ESPG, Mon 4:00AM,15.0 Headshots on Maps 1+2
CS:GO cptkurtka023,B8 vs ESPG, Mon 4:00AM,35.5 Kills on Map 1+2
CS:GO cptkurtka023,B8 vs ESPG, Mon 4:00AM,20.5 Headshots on Maps 1+2
CS:GO donk,SPT @ EG, Mon 6:00AM,40.5 Kills on Map 1+2
CS:GO donk,SPT @ EG, Mon 6:00AM,25.5 Headshots on Maps 1+2
CS:GO magixx,SPT @ EG, Mon 6:00AM,31.5 Kills on Map 1+2
CS:GO magixx,SPT @ EG, Mon 6:00AM,17.0 Headshots on Maps 1+2
CS:GO chopper,SPT @ EG, Mon 6:00AM,30.0 Kills on Map 1+2
CS:GO chopper,SPT @ EG, Mon 6:00AM,17.0 Headshots on Maps 1+2
CS:GO zont1x,SPT @ EG, Mon 6:00AM,35.5 Kills on Map 1+2
CS:GO zont1x,SPT @ EG, Mon 6:00AM,15.0 Headshots on Maps 1+2
CS:GO ArtFr0st,SPT @ EG, Mon 6:00AM,35.0 Kills on Map 1+2
CS:GO ArtFr0st,SPT @ EG, Mon 6:00AM,8.5 Headshots on Maps 1+2
CS:GO junior,EG vs SPT, Mon 6:00AM,41.0 Kills on Map 1+2
CS:GO junior,EG vs SPT, Mon 6:00AM,11.0 Headshots on Maps 1+2
CS:GO autimatic,EG vs SPT, Mon 6:00AM,36.5 Kills on Map 1+2
CS:GO autimatic,EG vs SPT, Mon 6:00AM,19.0 Headshots on Maps 1+2
CS:GO jeorge,EG vs SPT, Mon 6:00AM,34.5 Kills on Map 1+2
CS:GO jeorge,EG vs SPT, Mon 6:00AM,16.5 Headshots on Maps 1+2
CS:GO HexT,EG vs SPT, Mon 6:00AM,34.5 Kills on Map 1+2
CS:GO HexT,EG vs SPT, Mon 6:00AM,17.0 Headshots on Maps 1+2
CS:GO Walco,EG vs SPT, Mon 6:00AM,33.0 Kills on Map 1+2
CS:GO Walco,EG vs SPT, Mon 6:00AM,17.0 Headshots on Maps 1+2
CS:GO Spiidi,AA @ NXS, Mon 7:00AM,35.0 Kills on Map 1+2
CS:GO Spiidi,AA @ NXS, Mon 7:00AM,14.0 Headshots on Maps 1+2
CS:GO FreeZe,AA @ NXS, Mon 7:00AM,32.0 Kills on Map 1+2
CS:GO FreeZe,AA @ NXS, Mon 7:00AM,15.0 Headshots on Maps 1+2
CS:GO awzek,AA @ NXS, Mon 7:00AM,36.5 Kills on Map 1+2
CS:GO awzek,AA @ NXS, Mon 7:00AM,17.0 Headshots on Maps 1+2
CS:GO PerX,AA @ NXS, Mon 7:00AM,34.5 Kills on Map 1+2
CS:GO PerX,AA @ NXS, Mon 7:00AM,17.0 Headshots on Maps 1+2
CS:GO slaxz-,AA @ NXS, Mon 7:00AM,39.5 Kills on Map 1+2
CS:GO slaxz-,AA @ NXS, Mon 7:00AM,10.5 Headshots on Maps 1+2
CS:GO XELLOW,NXS vs AA, Mon 7:00AM,36.5 Kills on Map 1+2
CS:GO XELLOW,NXS vs AA, Mon 7:00AM,11.0 Headshots on Maps 1+2
CS:GO BTN,NXS vs AA, Mon 7:00AM,30.5 Kills on Map 1+2
CS:GO BTN,NXS vs AA, Mon 7:00AM,14.5 Headshots on Maps 1+2
CS:GO ragga,NXS vs AA, Mon 7:00AM,37.5 Kills on Map 1+2
CS:GO ragga,NXS vs AA, Mon 7:00AM,19.0 Headshots on Maps 1+2
CS:GO roman,SAW @ EFIR, Mon 9:00AM,33.5 Kills on Map 1+2
CS:GO roman,SAW @ EFIR, Mon 9:00AM,18.0 Headshots on Maps 1+2
CS:GO arrozdoce,SAW @ EFIR, Mon 9:00AM,36.0 Kills on Map 1+2
CS:GO arrozdoce,SAW @ EFIR, Mon 9:00AM,19.5 Headshots on Maps 1+2
CS:GO story,SAW @ EFIR, Mon 9:00AM,37.5 Kills on Map 1+2
CS:GO story,SAW @ EFIR, Mon 9:00AM,10.0 Headshots on Maps 1+2
CS:GO ewjerkz,SAW @ EFIR, Mon 9:00AM,36.0 Kills on Map 1+2
CS:GO ewjerkz,SAW @ EFIR, Mon 9:00AM,19.0 Headshots on Maps 1+2
CS:GO MUTiRiS,SAW @ EFIR, Mon 9:00AM,34.0 Kills on Map 1+2
CS:GO MUTiRiS,SAW @ EFIR, Mon 9:00AM,16.0 Headshots on Maps 1+2
CS:GO XANTARES,EFIR vs SAW, Mon 9:00AM,42.5 Kills on Map 1+2
CS:GO XANTARES,EFIR vs SAW, Mon 9:00AM,22.5 Headshots on Maps 1+2
CS:GO woxic,EFIR vs SAW, Mon 9:00AM,36.5 Kills on Map 1+2
CS:GO woxic,EFIR vs SAW, Mon 9:00AM,10.0 Headshots on Maps 1+2
CS:GO MAJ3R,EFIR vs SAW, Mon 9:00AM,29.0 Kills on Map 1+2
CS:GO MAJ3R,EFIR vs SAW, Mon 9:00AM,12.5 Headshots on Maps 1+2
CS:GO Wicadia,EFIR vs SAW, Mon 9:00AM,35.5 Kills on Map 1+2
CS:GO Wicadia,EFIR vs SAW, Mon 9:00AM,19.5 Headshots on Maps 1+2
CS:GO Calyx,EFIR vs SAW, Mon 9:00AM,35.0 Kills on Map 1+2
CS:GO Calyx,EFIR vs SAW, Mon 9:00AM,21.0 Headshots on Maps 1+2
CS:GO dennyslaw,500 @ NEMG, Mon 10:00AM,36.5 Kills on Map 1+2
CS:GO dennyslaw,500 @ NEMG, Mon 10:00AM,11.5 Headshots on Maps 1+2
CS:GO REDSTAR,500 @ NEMG, Mon 10:00AM,40.0 Kills on Map 1+2
CS:GO REDSTAR,500 @ NEMG, Mon 10:00AM,21.0 Headshots on Maps 1+2
CS:GO niki1,500 @ NEMG, Mon 10:00AM,32.5 Kills on Map 1+2
CS:GO niki1,500 @ NEMG, Mon 10:00AM,16.5 Headshots on Maps 1+2
CS:GO Patrick,500 @ NEMG, Mon 10:00AM,31.5 Kills on Map 1+2
CS:GO Patrick,500 @ NEMG, Mon 10:00AM,15.0 Headshots on Maps 1+2
CS:GO Jyo,NEMG vs 500, Mon 10:00AM,35.0 Kills on Map 1+2
CS:GO Jyo,NEMG vs 500, Mon 10:00AM,15.0 Headshots on Maps 1+2
CS:GO xsepower,NEMG vs 500, Mon 10:00AM,34.5 Kills on Map 1+2
CS:GO xsepower,NEMG vs 500, Mon 10:00AM,8.5 Headshots on Maps 1+2
CS:GO 1eeR,NEMG vs 500, Mon 10:00AM,33.5 Kills on Map 1+2
CS:GO 1eeR,NEMG vs 500, Mon 10:00AM,16.5 Headshots on Maps 1+2
CS:GO Synyx,NEMG vs 500, Mon 10:00AM,30.5 Kills on Map 1+2
CS:GO Synyx,NEMG vs 500, Mon 10:00AM,18.5 Headshots on Maps 1+2
